"year","price"
"Oct
2017","357.967"
"Oct
2017","226.4"
"Oct
2017","229.5"
"Oct
2017","183.35"
"Nov
2017","237.89"
"Nov
2017","201.81"
"Nov
2017","296.4"
"Nov
2017","262.38"
"Dec
2017","191.32"
"Dec
2017","245.38"
"Dec
2017","295.26"
"Dec
2017","481.032"
"Dec
2017","372.16"
"Jan
2018","306.4"
"Jan
2018","301.715"
"Jan
2018","166.99"
"Jan
2018","192.38"
"Feb
2018","275.88"
"Feb
2018","197.15"
"Feb
2018","171.19"
"Feb
2018","167.1"
"Mar
2018","378.29"
"Apr
2018","344.69"
"Apr
2018","240.6"
"Apr
2018","211.93"
"May
2018","288.355"
"May
2018","251.97"
"May
2018","230.5"
"May
2018","276.51"
"May
2018","268.75"
"Jun
2018","107.69"
"Jun
2018","326.5"
"Jul
2018","336.15"
"Jul
2018","379.39"
"Jul
2018","353.84"
"Jul
2018","285.57"
"Aug
2018","548.65"
"Aug
2018","277.07"
"Aug
2018","250.59"
"Sep
2018","276.38"
"Sep
2018","267.07"
