"year","price"
"Oct
2017","550.984"
"Oct
2017","285.125"
"Oct
2017","290.692"
"Oct
2017","304.776"
"Oct
2017","277.93"
"Nov
2017","376.342"
"Nov
2017","291.323"
"Nov
2017","405.882"
"Dec
2017","197.97"
"Dec
2017","287.34"
"Dec
2017","262.565"
"Dec
2017","359.215"
"Dec
2017","480.499"
"Jan
2018","445.525"
"Jan
2018","318.75"
"Jan
2018","259.812"
"Jan
2018","250.865"
"Jan
2018","255.97"
"Feb
2018","219.45"
"Feb
2018","286.99"
"Mar
2018","314.98"
"Mar
2018","294.255"
"Mar
2018","369.062"
"Mar
2018","519.6"
"Apr
2018","353.975"
"May
2018","287.38"
"May
2018","365.29"
"Jun
2018","353.97"
"Jun
2018","474.01"
"Jul
2018","444.75"
"Aug
2018","341.59"
"Aug
2018","305.96"
"Sep
2018","340.8"
"Oct
2018","337.61"
