"year","price"
"Oct
2017","553.27"
"Oct
2017","376.758"
"Nov
2017","481.565"
"Nov
2017","286.6"
"Nov
2017","708.164"
"Nov
2017","701.777"
"Dec
2017","385.464"
"Dec
2017","426.88"
"Dec
2017","505.74"
"Dec
2017","749.397"
"Jan
2018","343.89"
"Jan
2018","382.734"
"Feb
2018","572.48"
"Feb
2018","335.45"
"Mar
2018","324.99"
"Mar
2018","476.8"
"Apr
2018","340.67"
"May
2018","366.62"
"Jun
2018","399.73"
"Jun
2018","464.718"
"Jul
2018","371.6"
"Jul
2018","469.21"
"Sep
2018","281.56"
"Sep
2018","348.61"
