"year","price"
"Oct
2017","323.09"
"Oct
2017","303.581"
"Oct
2017","188.4"
"Oct
2017","169.82"
"Oct
2017","166.79"
"Nov
2017","116.53"
"Nov
2017","230.4"
"Nov
2017","264.35"
"Dec
2017","226.58"
"Dec
2017","234.58"
"Dec
2017","285.05"
"Dec
2017","477.88"
"Dec
2017","535.6"
"Jan
2018","337.149"
"Jan
2018","259.59"
"Jan
2018","177.799"
"Jan
2018","147.8"
"Jan
2018","257.977"
"Feb
2018","148.38"
"Feb
2018","292.6"
"Feb
2018","152.68"
"Mar
2018","251.24"
"Mar
2018","296.3"
"Apr
2018","255.3"
"May
2018","263.13"
"Jun
2018","292"
"Jun
2018","414.6"
"Jun
2018","248.98"
"Jul
2018","316.6"
"Jul
2018","489.38"
"Jul
2018","297.4"
"Aug
2018","244.96"
"Aug
2018","306.37"
"Aug
2018","390.02"
"Sep
2018","208.64"
"Sep
2018","215.65"
