"year","price"
"Oct
2017","273.823"
"Oct
2017","250.778"
"Oct
2017","308.052"
"Nov
2017","186.72"
"Nov
2017","252.334"
"Nov
2017","304.27"
"Nov
2017","284.537"
"Dec
2017","252.334"
"Dec
2017","236.84"
"Dec
2017","305.065"
"Dec
2017","506.85"
"Dec
2017","281.473"
"Jan
2018","268.328"
"Jan
2018","277.39"
"Jan
2018","190.92"
"Jan
2018","246.076"
"Jan
2018","248.598"
"Feb
2018","186.9"
"Feb
2018","234.08"
"Mar
2018","575.431"
"Mar
2018","249.587"
"Apr
2018","247.25"
"Apr
2018","229.9"
"May
2018","229.9"
"May
2018","234.08"
"May
2018","186.72"
"Jun
2018","240.35"
"Jun
2018","257.07"
"Jul
2018","257.07"
"Jul
2018","380.549"
"Jul
2018","361.344"
"Jul
2018","234.08"
"Aug
2018","255.98"
"Aug
2018","234.04"
"Sep
2018","240.31"
"Sep
2018","240.31"
"Sep
2018","240.31"
