"year","price"
"Oct
2017","558.401"
"Oct
2017","374.471"
"Oct
2017","516.986"
"Nov
2017","332.791"
"Nov
2017","293.311"
"Nov
2017","347.229"
"Nov
2017","535.038"
"Dec
2017","525.717"
"Dec
2017","368.17"
"Dec
2017","548.036"
"Dec
2017","563.128"
"Dec
2017","1070.41"
"Jan
2018","557.044"
"Jan
2018","357.8"
"Jan
2018","396.218"
"Feb
2018","347.229"
"Feb
2018","395.596"
"Apr
2018","354.35"
"Apr
2018","488.621"
"Apr
2018","513.95"
"Jun
2018","341.59"
"Jun
2018","393.95"
"Jun
2018","363.95"
"Jul
2018","363.95"
"Sep
2018","373.95"
"Sep
2018","281.58"
