"year","price"
"Oct
2017","288.636"
"Oct
2017","157.27"
"Nov
2017","200.22"
"Nov
2017","219.4"
"Nov
2017","199.55"
"Dec
2017","250.07"
"Dec
2017","197.48"
"Dec
2017","258.666"
"Dec
2017","238.741"
"Dec
2017","249.19"
"Jan
2018","221.38"
"Jan
2018","204.82"
"Jan
2018","195.94"
"Feb
2018","242.053"
"Feb
2018","230.94"
"Mar
2018","114.14"
"Mar
2018","419.57"
"Apr
2018","164.15"
"Apr
2018","107.07"
"May
2018","200.5"
"Jun
2018","218.51"
"Jul
2018","214.53"
"Jul
2018","293.23"
"Jul
2018","195.94"
"Aug
2018","240.98"
"Aug
2018","175.35"
"Sep
2018","208.27"
