"year","price"
"Oct
2017","443.09"
"Oct
2017","381.7"
"Oct
2017","207.79"
"Oct
2017","235.986"
"Nov
2017","136.93"
"Nov
2017","309.12"
"Nov
2017","249.579"
"Nov
2017","310.704"
"Dec
2017","234.952"
"Dec
2017","205.687"
"Dec
2017","252.859"
"Dec
2017","456.58"
"Dec
2017","634.39"
"Jan
2018","291.382"
"Jan
2018","194.4"
"Jan
2018","323.257"
"Jan
2018","211.98"
"Feb
2018","246.6"
"Feb
2018","246.6"
"Feb
2018","350.044"
"Feb
2018","246.6"
"Mar
2018","326.59"
"Mar
2018","316.3"
"Mar
2018","326.3"
"Mar
2018","251.6"
"Apr
2018","308.2"
"Apr
2018","276.4"
"May
2018","256.6"
"May
2018","250.55"
"May
2018","286.6"
"May
2018","277.55"
"May
2018","260.06"
"Jun
2018","256.95"
"Jun
2018","342.41"
"Jun
2018","277.45"
"Jun
2018","407.66"
"Jul
2018","376.8"
"Jul
2018","335.65"
"Aug
2018","289.65"
"Aug
2018","275.8"
"Aug
2018","376.54"
"Sep
2018","224.54"
"Sep
2018","224.56"
"Sep
2018","196.75"
