"year","price"
"Oct
2017","579.094"
"Oct
2017","379.206"
"Oct
2017","385.048"
"Oct
2017","393.255"
"Nov
2017","390.137"
"Nov
2017","551.861"
"Nov
2017","520.08"
"Dec
2017","401.116"
"Dec
2017","373.7"
"Dec
2017","471.663"
"Dec
2017","478.101"
"Jan
2018","412.351"
"Jan
2018","318.52"
"Jan
2018","317.14"
"Feb
2018","331.1"
"Feb
2018","405.299"
"Mar
2018","548.89"
"Apr
2018","438.9"
"May
2018","412.351"
"May
2018","516.33"
"Jun
2018","372.12"
"Jun
2018","436.91"
"Jun
2018","422.45"
"Jun
2018","498.59"
"Jul
2018","390.83"
"Jul
2018","519.746"
"Aug
2018","343.81"
"Aug
2018","340.25"
"Sep
2018","409.24"
