"year","price"
"Oct
2017","324.159"
"Oct
2017","325.268"
"Oct
2017","291.62"
"Oct
2017","296.74"
"Nov
2017","341.16"
"Nov
2017","382.6"
"Nov
2017","482.559"
"Dec
2017","332.31"
"Dec
2017","322.91"
"Dec
2017","343.43"
"Jan
2018","313.98"
"Jan
2018","304.21"
"Jan
2018","367.431"
"Feb
2018","197.4"
"Mar
2018","456.93"
"Apr
2018","166.16"
"Apr
2018","319.77"
"Apr
2018","339.7"
"Apr
2018","169.15"
"May
2018","424.27"
"May
2018","216.32"
"May
2018","257.91"
"Jun
2018","246.62"
"Jun
2018","328.97"
"Jul
2018","288.38"
"Jul
2018","266.48"
"Jul
2018","350.7"
"Jul
2018","245.95"
"Aug
2018","210.61"
"Aug
2018","245.95"
"Aug
2018","250.59"
"Sep
2018","156.75"
"Sep
2018","209.15"
"Sep
2018","146.3"
"Oct
2018","212.24"
