"year","price"
"Oct
2017","162.868"
"Oct
2017","171.4"
"Oct
2017","131.42"
"Oct
2017","143.367"
"Nov
2017","146.208"
"Nov
2017","245.4"
"Nov
2017","224.736"
"Nov
2017","263.3"
"Nov
2017","145.598"
"Dec
2017","178.4"
"Dec
2017","253.4"
"Dec
2017","228"
"Dec
2017","268.77"
"Jan
2018","227.273"
"Jan
2018","153.431"
"Jan
2018","155.4"
"Jan
2018","135.052"
"Feb
2018","155.455"
"Feb
2018","233.6"
"Mar
2018","413.82"
"Apr
2018","178.6"
"Apr
2018","212.13"
"May
2018","293.28"
"May
2018","244.53"
"May
2018","286.04"
"Jun
2018","204.82"
"Jun
2018","249.76"
"Jul
2018","338.55"
"Jul
2018","248.6"
"Jul
2018","265.99"
"Aug
2018","286.1"
"Sep
2018","185.98"
"Sep
2018","165.07"
