"year","price"
"Oct
2017","77.99"
"Oct
2017","82.81"
"Oct
2017","87.92"
"Nov
2017","98.4"
"Nov
2017","59.41"
"Nov
2017","246.07"
"Nov
2017","40.49"
"Nov
2017","93.4"
"Dec
2017","88.01"
"Dec
2017","196"
"Dec
2017","179.112"
"Jan
2018","169.598"
"Jan
2018","99.82"
"Jan
2018","67.49"
"Feb
2018","102.782"
"Feb
2018","92.8403"
"Feb
2018","80.56"
"Mar
2018","119.59"
"Mar
2018","95.6"
"Mar
2018","110.6"
"Apr
2018","125.57"
"Apr
2018","109.55"
"May
2018","147.73"
"May
2018","128.6"
"Jun
2018","181.63"
"Jun
2018","120.4"
"Jul
2018","131.15"
"Jul
2018","158.63"
"Jul
2018","137.53"
"Aug
2018","166.38"
"Aug
2018","115.53"
"Aug
2018","120.4"
"Sep
2018","110.35"
"Sep
2018","116.38"
"Oct
2018","221.71"
