"year","price"
"Oct
2017","126.39"
"Oct
2017","104.19"
"Oct
2017","104.04"
"Oct
2017","125.45"
"Nov
2017","109.4"
"Nov
2017","176.6"
"Nov
2017","266.97"
"Nov
2017","206.46"
"Nov
2017","108.4"
"Dec
2017","138.4"
"Dec
2017","200.4"
"Dec
2017","229.576"
"Dec
2017","210.83"
"Jan
2018","160.4"
"Jan
2018","237.627"
"Jan
2018","107.62"
"Jan
2018","125.4"
"Feb
2018","236.165"
"Feb
2018","161.6"
"Mar
2018","293.24"
"Apr
2018","122.41"
"Apr
2018","122.41"
"May
2018","196.57"
"May
2018","206.58"
"May
2018","201.58"
"Jun
2018","195.91"
"Jun
2018","316.6"
"Jul
2018","270.83"
"Jul
2018","191.82"
"Jul
2018","236.37"
"Jul
2018","237.37"
"Aug
2018","212.38"
"Aug
2018","172.96"
"Sep
2018","125.02"
"Sep
2018","126.38"
