"year","price"
"Oct
2017","497.625"
"Oct
2017","240.92"
"Oct
2017","239.38"
"Oct
2017","191.82"
"Nov
2017","197.41"
"Nov
2017","290.4"
"Nov
2017","261.01"
"Nov
2017","347.38"
"Nov
2017","610.514"
"Dec
2017","138.24"
"Dec
2017","346.4"
"Dec
2017","345.84"
"Dec
2017","701.822"
"Jan
2018","326.17"
"Jan
2018","222.58"
"Jan
2018","284.996"
"Jan
2018","180.95"
"Feb
2018","222.73"
"Feb
2018","250.29"
"Feb
2018","415.76"
"Feb
2018","324.1"
"Feb
2018","372.463"
"Mar
2018","313.5"
"Mar
2018","290.34"
"Mar
2018","284.4"
"Apr
2018","333.93"
"Apr
2018","286.64"
"Apr
2018","243.73"
"May
2018","192.37"
"May
2018","218.15"
"May
2018","278.73"
"Jun
2018","298.4"
"Jun
2018","278.4"
"Jul
2018","255.12"
"Jul
2018","350.37"
"Aug
2018","223.22"
"Aug
2018","186.68"
"Aug
2018","201.91"
"Oct
2018","160.39"
