"year","price"
"Oct
2017","265.666"
"Oct
2017","324.02"
"Oct
2017","253.01"
"Oct
2017","266.45"
"Nov
2017","268.74"
"Nov
2017","320.941"
"Nov
2017","331.022"
"Nov
2017","387.6"
"Dec
2017","230.19"
"Dec
2017","354.71"
"Dec
2017","314.76"
"Dec
2017","539.182"
"Dec
2017","397.59"
"Jan
2018","340.545"
"Jan
2018","294.342"
"Jan
2018","151.06"
"Jan
2018","254.05"
"Feb
2018","238.281"
"Feb
2018","292.08"
"Feb
2018","269.79"
"Feb
2018","295.3"
"Feb
2018","237.408"
"Mar
2018","361.68"
"Apr
2018","478.3"
"Apr
2018","240.53"
"Apr
2018","410.6"
"May
2018","317.3"
"May
2018","334.4"
"May
2018","324"
"May
2018","324"
"Jun
2018","313.6"
"Jun
2018","479.6"
"Jul
2018","304.35"
"Jul
2018","378.03"
"Jul
2018","581.7"
"Jul
2018","306.96"
"Aug
2018","903.8"
"Aug
2018","347.67"
"Aug
2018","308.61"
"Sep
2018","312.42"
"Sep
2018","319.62"
