,display_phone,distance,id,image_url,is_closed,name,phone,price,rating,review_count,transactions,url,title1,0,0,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address
0,(323) 297-0101,2894.264433003461,q8buTNBt3FU9vie0D5OOxA,https://s3-media1.fl.yelpcdn.com/bphoto/QbxzKkRRmbANhOc1w9-4Wg/o.jpg,False,Pizzeria Mozza,+13232970101,$$,4.0,3949,[],https://www.yelp.com/biz/pizzeria-mozza-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,pizza,,,34.0832522379857,-118.338801201765,641 N Highland Ave,,,Los Angeles,90036,US,CA,"['641 N Highland Ave', 'Los Angeles, CA 90036']"
1,(323) 250-8034,5275.47339848113,WwC3_ApPhjTbv2YT5pH2oA,https://s3-media2.fl.yelpcdn.com/bphoto/3oSK3kviVbFtjKY7TAqTfA/o.jpg,False,Yardbird Southern Table & Bar,+13232508034,$$$,4.5,451,[],https://www.yelp.com/biz/yardbird-southern-table-and-bar-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,southern,,,34.0736424077856,-118.376774467984,8500 Beverly Blvd,Ste 112,,Los Angeles,90048,US,CA,"['8500 Beverly Blvd', 'Ste 112', 'Los Angeles, CA 90048']"
2,(323) 654-8583,6896.532077853016,LlaXbuPQBsRXjZFEx5Wkjw,https://s3-media3.fl.yelpcdn.com/bphoto/5qiORmhsSeD5Z55yiDuL9Q/o.jpg,False,Pace,+13236548583,$$$,4.0,811,['restaurant_reservation'],https://www.yelp.com/biz/pace-los-angeles-3?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,italian,,,34.10906,-118.3697,2100 Laurel Canyon Blvd,,,Los Angeles,90046,US,CA,"['2100 Laurel Canyon Blvd', 'Los Angeles, CA 90046']"
3,(213) 738-0909,1393.705276148527,IMoMSsC3oDqcNZCQXyo8iQ,https://s3-media4.fl.yelpcdn.com/bphoto/xjY5bqVFOqgu4pQ4rVcclg/o.jpg,False,Concerto,+12137380909,$$,4.0,1078,['restaurant_reservation'],https://www.yelp.com/biz/concerto-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,italian,,,34.06301,-118.30622,610 S Serrano Ave,,,Los Angeles,90005,US,CA,"['610 S Serrano Ave', 'Los Angeles, CA 90005']"
4,(310) 246-5153,5814.893212611328,J54yhzUre29ehT4FgXTJaA,https://s3-media2.fl.yelpcdn.com/bphoto/xoKBjmU2kwKu5QJ4j-9vMQ/o.jpg,False,Komodo,+13102465153,$$,4.0,1786,"['delivery', 'pickup']",https://www.yelp.com/biz/komodo-los-angeles-6?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,asianfusion,,,34.05487395823,-118.383980020881,8809 W Pico Blvd,,,Los Angeles,90035,US,CA,"['8809 W Pico Blvd', 'Los Angeles, CA 90035']"
5,(213) 617-0305,7883.322854985775,KOuqS-inE44o9-1Jix9Tag,https://s3-media3.fl.yelpcdn.com/bphoto/_G1hv1eISTWnWKlNqKB-og/o.jpg,False,Shojin Downtown,+12136170305,$$,4.0,1606,['restaurant_reservation'],https://www.yelp.com/biz/shojin-downtown-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,japanese,,,34.0443222,-118.2382339,333 S Alameda St,Ste 310,,Los Angeles,90013,US,CA,"['333 S Alameda St', 'Ste 310', 'Los Angeles, CA 90013']"
6,(213) 389-3899,2804.9147902383784,WjuO8PhtqINeWqm-ei8NQA,https://s3-media3.fl.yelpcdn.com/bphoto/MKZDl1HyJFqMCRrpI8hlRA/o.jpg,False,Dumpling House,+12133893899,$,4.5,404,[],https://www.yelp.com/biz/dumpling-house-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,korean,,,34.0693,-118.29253,3525 W 3rd St,,,Los Angeles,90020,US,CA,"['3525 W 3rd St', 'Los Angeles, CA 90020']"
7,(213) 386-9292,2874.653938141386,fBLnD9qxQggvDSPyOBsBLg,https://s3-media3.fl.yelpcdn.com/bphoto/5K5n0MLuCvo8IOtMSOZTqQ/o.jpg,False,Ong Ga Nae Korean BBQ,+12133869292,$$,4.5,278,['restaurant_reservation'],https://www.yelp.com/biz/ong-ga-nae-korean-bbq-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,korean,,,34.0546201,-118.2914951,936 South Vermont Ave,,,Los Angeles,90006,US,CA,"['936 South Vermont Ave', 'Los Angeles, CA 90006']"
8,(323) 701-2063,3766.1579887624935,YhJC5FWtyN66BWt67Cif6g,https://s3-media2.fl.yelpcdn.com/bphoto/m73fRhydUEHJPACdkAJJjA/o.jpg,False,La Carmencita,+13237012063,$$,4.0,252,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/la-carmencita-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,seafood,,,34.09246,-118.3382046,1156 N Highland Ave,,,Los Angeles,90038,US,CA,"['1156 N Highland Ave', 'Los Angeles, CA 90038']"
9,(323) 297-0070,3035.184366539561,P9Dt_kkU5BTe1v0tJ4KFNw,https://s3-media1.fl.yelpcdn.com/bphoto/ykLAVSRJJmQmPRd8V8Sy9A/o.jpg,False,Angelini Osteria,+13232970070,$$$,4.5,1596,[],https://www.yelp.com/biz/angelini-osteria-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,italian,,,34.07642,-118.34909,7313 Beverly Blvd,,,Los Angeles,90036,US,CA,"['7313 Beverly Blvd', 'Los Angeles, CA 90036']"
10,(213) 612-3185,5989.927526498674,tNLPTQYYfzh3IL7YoS1s_g,https://s3-media3.fl.yelpcdn.com/bphoto/BiLPNESqVmSNvUr6d369kQ/o.jpg,False,District,+12136123185,$$,4.0,399,['restaurant_reservation'],https://www.yelp.com/biz/district-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,cocktailbars,,,34.0479912921288,-118.258466860049,700 West 7th St,,,Los Angeles,90017,US,CA,"['700 West 7th St', 'Los Angeles, CA 90017']"
