,display_phone,distance,id,is_closed,name,phone,price,rating,review_count,transactions,url,address1,city,zip_code,country,state,display_address,latitude,longitude
0,(323) 935-4060,3444.8782500624866,y2bRinkMwI8d7Aee-0xBbA,False,Mid City Inn Motel,+13239354060,$,4.5,9,[],https://www.yelp.com/biz/mid-city-inn-motel-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,5000 W Washington Blvd,Los Angeles,90016,US,CA,"['5000 W Washington Blvd', 'Los Angeles, CA 90016']",34.0402755737305,-118.348793029785
2,(323) 856-1970,4794.382601825274,6qLp5ZDaVm9L1UDjULVAKA,False,The Hollywood Roosevelt,+13238561970,$$$,3.5,904,[],https://www.yelp.com/biz/the-hollywood-roosevelt-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,7000 Hollywood Blvd,Los Angeles,90028,US,CA,"['7000 Hollywood Blvd', 'Los Angeles, CA 90028']",34.1012699,-118.3417471
3,(213) 617-2000,7591.826476198636,4wP_NsfWQMzJBSa7PnB-GQ,False,Miyako Hotel,+12136172000,$$,3.5,254,[],https://www.yelp.com/biz/miyako-hotel-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,328 E 1st St,Los Angeles,90012,US,CA,"['328 E 1st St', 'Los Angeles, CA 90012']",34.0496482849121,-118.240287780762
4,(310) 479-1823,11852.944959074111,FSlwl4V4tyfbnKlUoaYsLw,False,West End Hotel,+13104791823,$,5.0,2,[],https://www.yelp.com/biz/west-end-hotel-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,1538 Sawtelle Blvd,Los Angeles,90025,US,CA,"['1538 Sawtelle Blvd', 'Los Angeles, CA 90025']",34.0475120544434,-118.44889831543
5,(310) 275-4445,5793.731675722562,InkIOzfX7Fvna7975w4M5g,False,The Carlyle Inn,+13102754445,$$,3.5,54,[],https://www.yelp.com/biz/the-carlyle-inn-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,1119 S Robertson Blvd,Los Angeles,90035,US,CA,"['1119 S Robertson Blvd', 'Los Angeles, CA 90035']",34.056544,-118.383978
6,(424) 702-1234,14542.471629262502,LOhz8WHkGdGFNk-T1FsYww,False,Hyatt Regency Los Angeles International Airport,+14247021234,$$,3.5,47,[],https://www.yelp.com/biz/hyatt-regency-los-angeles-international-airport-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,6225 W Century Blvd,Los Angeles,90045,US,CA,"['6225 W Century Blvd', 'Los Angeles, CA 90045']",33.94625,-118.39509
7,(213) 947-3815,6568.509202349117,FbPyh8f_ox7nw37dLzVlYA,False,Tuck Hotel,+12139473815,$$,4.0,19,[],https://www.yelp.com/biz/tuck-hotel-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,820 S Spring St,Los Angeles,90014,US,CA,"['820 S Spring St', 'Los Angeles, CA 90014']",34.0424957275391,-118.253913879395
8,(213) 488-3500,6001.684934740925,tT2OepXYkeFih_oGfScgGQ,False,Sheraton Grand Los Angeles,+12134883500,$$,3.0,408,[],https://www.yelp.com/biz/sheraton-grand-los-angeles-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,711 South Hope St,Los Angeles,90017,US,CA,"['711 South Hope St', 'Los Angeles, CA 90017']",34.04763,-118.25889
9,(213) 443-9222,5405.27834199915,7KitXLqfHXuSqcXdkUstFA,False,Courtyard by Marriott Los Angeles L.A. LIVE,+12134439222,$$,3.5,78,[],https://www.yelp.com/biz/courtyard-by-marriott-los-angeles-l-a-live-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,901 W Olympic Blvd,Los Angeles,90015,US,CA,"['901 W Olympic Blvd', 'Los Angeles, CA 90015']",34.04599780845,-118.265808046627
10,(213) 688-7777,5756.216425756477,1PSkXp8N6-cczfIBijTgNA,False,InterContinental Los Angeles Downtown,+12136887777,$$$,3.5,239,[],https://www.yelp.com/biz/intercontinental-los-angeles-downtown-los-angeles-5?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,900 Wilshire Blvd,Los Angeles,90017,US,CA,"['900 Wilshire Blvd', 'Los Angeles, CA 90017']",34.04983,-118.25977
11,(323) 852-6000,4115.501814033699,3EJAnk6bvNFevchAfr6VFw,False,Kimpton Hotel Wilshire,+13238526000,$$$,3.5,158,[],https://www.yelp.com/biz/kimpton-hotel-wilshire-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,6317 Wilshire Blvd,Los Angeles,90048,US,CA,"['6317 Wilshire Blvd', 'Los Angeles, CA 90048']",34.06389,-118.36596
12,(310) 649-1400,14374.230766752216,r-IBuTKjGioSBpP4KYf8sA,False,Courtyard by Marriott Los Angeles LAX/Century Boulevard,+13106491400,$$,3.5,126,[],https://www.yelp.com/biz/courtyard-by-marriott-los-angeles-lax-century-boulevard-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,6161 W Century Boulevard,Los Angeles,90045,US,CA,"['6161 W Century Boulevard', 'Los Angeles, CA 90045']",33.94671,-118.39341
13,(323) 856-1200,4900.703483763881,Ehb0HOOKJKJ43oPkzqYCzg,False,Loews Hollywood Hotel,+13238561200,$$$,3.5,410,[],https://www.yelp.com/biz/loews-hollywood-hotel-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,1755 N Highland Ave,Los Angeles,90028,US,CA,"['1755 N Highland Ave', 'Los Angeles, CA 90028']",34.1027794,-118.3394699
14,(800) 515-1333,2531.788472872195,7L6NRFv2rPWyE_BNu4-W2A,False,Hollywood Historic Hotel,+18005151333,$$,3.5,205,[],https://www.yelp.com/biz/hollywood-historic-hotel-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,5162 Melrose Ave,Los Angeles,90038,US,CA,"['5162 Melrose Ave', 'Los Angeles, CA 90038']",34.0833119,-118.3131426
15,(310) 208-8765,11021.969090712284,9ta6U2F5ma2UauHBS-i1dg,False,W Los Angeles - West Beverly Hills,+13102088765,$$$,3.5,545,[],https://www.yelp.com/biz/w-los-angeles-west-beverly-hills-los-angeles?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,930 Hilgard Ave,Los Angeles,90024,US,CA,"['930 Hilgard Ave', 'Los Angeles, CA 90024']",34.06324204753,-118.44101599607
16,(310) 277-2800,7140.042842056224,T6XCD1_eLEk3LaSp8C7E1g,False,Mr. C,+13102772800,$$$,4.0,168,[],https://www.yelp.com/biz/mr-c-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,1224 Beverwil Dr,Los Angeles,90035,US,CA,"['1224 Beverwil Dr', 'Los Angeles, CA 90035']",34.05540594416,-118.3985275
17,(323) 656-1010,5948.588922572366,Z5zIvT1uYC5PpA5d3q1ZSg,False,Chateau Marmont,+13236561010,$$$,3.5,694,[],https://www.yelp.com/biz/chateau-marmont-los-angeles-2?adjust_creative=XBvubDCvOAxemcvYBbSmog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XBvubDCvOAxemcvYBbSmog,8221 W Sunset Blvd,Los Angeles,90046,US,CA,"['8221 W Sunset Blvd', 'Los Angeles, CA 90046']",34.09827,-118.3677
